Action,Ticker,Shares,Buy Price,Sell Price,Profit/Loss $,Profit/Loss %,Timestamp
BUY,BTC-USD,0.01,80113.3984375,,,,
BUY,BTC-USD,0.01,80124.4921875,,,,
BUY,BTC-USD,0.01,80124.4921875,,,,
SELL,BTC-USD,0.01,80124.4921875,80117.703125,-0.0678906250000181,-0.0084731426242486,
BUY,BTC-USD,0.01,79859.3125,,,,
AUTO SELL (STOP LOSS),BTC-USD,0.01,79859.3125,79859.3125,0.0,0.0,
BUY,AAPL,0.01,292.7898864746094,,,,
BUY,NVDA,0.01,216.31500244140625,,,,
BUY,TSLA,0.01,428.3500061035156,,,,
BUY,TSLA,0.01,428.3500061035156,,,,
BUY,BTC-USD,0.01,80104.703125,,,,
BUY,TSLA,0.01,428.3500061035156,,,,
BUY,TSLA,0.01,428.3500061035156,,,,
BUY,TSLA,0.01,428.3500061035156,,,,2026-05-08 16:34:44
BUY,TSLA,0.01,428.3500061035156,,,,2026-05-08 16:34:51
BUY,TSLA,0.01,428.3500061035156,,,,2026-05-08 16:34:56
